Province_State,Country_Region,Date,Doses_admin,People_partially_vaccinated,People_fully_vaccinated,Report_Date_String,UID
Cundinamarca,Colombia,2021-07-04,1108167,,,2021/07/04,17015
Guainia,Colombia,2021-07-04,21166,,,2021/07/04,17016
Guaviare,Colombia,2021-07-04,25880,,,2021/07/04,17017
Huila,Colombia,2021-07-04,366024,,,2021/07/04,17018
La Guajira,Colombia,2021-07-04,270204,,,2021/07/04,17019
Magdalena,Colombia,2021-07-04,387064,,,2021/07/04,17020
Meta,Colombia,2021-07-04,329037,,,2021/07/04,17021
Narino,Colombia,2021-07-04,507275,,,2021/07/04,17022
Norte de Santander,Colombia,2021-07-04,538515,,,2021/07/04,17023
Putumayo,Colombia,2021-07-04,68583,,,2021/07/04,17024
Quindio,Colombia,2021-07-04,272401,,,2021/07/04,17025
Risaralda,Colombia,2021-07-04,445369,,,2021/07/04,17026
San Andres y Providencia,Colombia,2021-07-04,48321,,,2021/07/04,17027
Santander,Colombia,2021-07-04,954390,,,2021/07/04,17028
Sucre,Colombia,2021-07-04,291206,,,2021/07/04,17029
Tolima,Colombia,2021-07-04,563934,,,2021/07/04,17030
Unassigned,Colombia,2021-07-04,0,,,2021/07/04,17034
Valle del Cauca,Colombia,2021-07-04,1848114,,,2021/07/04,17031
Vaupes,Colombia,2021-07-04,15845,,,2021/07/04,17032
Vichada,Colombia,2021-07-04,14699,,,2021/07/04,17033
,Costa Rica,2021-07-04,2440385,1629222,811163,2021/07/04,188
,Cote d'Ivoire,2021-07-04,768039,768039,0,2021/07/04,384
,Croatia,2021-07-04,2633195,1500932,1132263,2021/07/04,191
,Cyprus,2021-07-04,829778,465528,364250,2021/07/04,196
,Czechia,2021-07-04,8500634,5097856,3443270,2021/07/04,203
Jihocesky,Czechia,2021-07-04,535039,,,2021/07/04,20301
Jihomoravsky,Czechia,2021-07-04,969587,,,2021/07/04,20302
Karlovarsky,Czechia,2021-07-04,230228,,,2021/07/04,20303
Kralovehradecky,Czechia,2021-07-04,458104,,,2021/07/04,20304
Liberecky,Czechia,2021-07-04,330923,,,2021/07/04,20305
Moravskoslezsky,Czechia,2021-07-04,905144,,,2021/07/04,20306
Olomoucky,Czechia,2021-07-04,462567,,,2021/07/04,20307
Pardubicky,Czechia,2021-07-04,368619,,,2021/07/04,20308
Plzensky,Czechia,2021-07-04,458685,,,2021/07/04,20309
Prague,Czechia,2021-07-04,1414150,,,2021/07/04,20310
Stredocesky,Czechia,2021-07-04,892952,,,2021/07/04,20311
Unassigned,Czechia,2021-07-04,0,,,2021/07/04,20315
Ustecky,Czechia,2021-07-04,627166,,,2021/07/04,20312
Vysocina,Czechia,2021-07-04,400417,,,2021/07/04,20313
Zlinsky,Czechia,2021-07-04,447053,,,2021/07/04,20314
,Denmark,2021-07-04,5246328,3375550,2005331,2021/07/04,208
Faroe Islands,Denmark,2021-07-04,48345,,,2021/07/04,234
Greenland,Denmark,2021-07-04,43111,,,2021/07/04,304
,Dominica,2021-07-04,39938,20390,19548,2021/07/04,212
,Dominican Republic,2021-07-04,8034708,4949582,2892597,2021/07/04,214
,Ecuador,2021-07-04,4345970,2885050,1416916,2021/07/04,218
,Egypt,2021-07-04,4282641,3502181,780460,2021/07/04,818
,El Salvador,2021-07-04,2890503,1727992,1162511,2021/07/04,222
,Equatorial Guinea,2021-07-04,265110,150609,114501,2021/07/04,226
,Estonia,2021-07-04,970808,564604,406204,2021/07/04,233
,Eswatini,2021-07-04,47623,37231,10392,2021/07/04,748
,Ethiopia,2021-07-04,2029761,1894717,0,2021/07/04,231
,Fiji,2021-07-04,322299,278954,43345,2021/07/04,242
,Finland,2021-07-04,4462940,3349834,1113106,2021/07/04,246
,France,2021-07-04,54588852,33961307,21079988,2021/07/04,250
,Gabon,2021-07-04,56768,38496,18272,2021/07/04,266
,Gambia,2021-07-04,42975,31150,11825,2021/07/04,270
,Georgia,2021-07-04,368460,265290,103170,2021/07/04,268
,Germany,2021-07-04,75781404,46249449,31487487,2021/07/04,276
,Ghana,2021-07-04,1232876,852047,380829,2021/07/04,288
,Greece,2021-07-04,8641748,4923627,3878045,2021/07/04,300
,Grenada,2021-07-04,31494,19521,11973,2021/07/04,308
,Guatemala,2021-07-04,967318,796497,161389,2021/07/04,320
,Guinea,2021-07-04,570658,400834,169824,2021/07/04,324
,Guyana,2021-07-04,346626,234255,112371,2021/07/04,328
,Honduras,2021-07-04,684035,625910,58125,2021/07/04,340
,Hungary,2021-07-04,10155466,5486514,4916927,2021/07/04,348
,Iceland,2021-07-04,485770,262051,223719,2021/07/04,352
,India,2021-07-04,351221306,276339011,59332783,2021/07/04,356
Andaman and Nicobar Islands,India,2021-07-04,184103,,,2021/07/04,35601
Andhra Pradesh,India,2021-07-04,16441451,,,2021/07/04,35602
Arunachal Pradesh,India,2021-07-04,623835,,,2021/07/04,35603
Assam,India,2021-07-04,7598322,,,2021/07/04,35604
Bihar,India,2021-07-04,17123547,,,2021/07/04,35605
Chandigarh,India,2021-07-04,551586,,,2021/07/04,35606
Chhattisgarh,India,2021-07-04,9876687,,,2021/07/04,35607
Dadra and Nagar Haveli and Daman and Diu,India,2021-07-04,466342,,,2021/07/04,35608
Delhi,India,2021-07-04,8373333,,,2021/07/04,35609
Goa,India,2021-07-04,980683,,,2021/07/04,35610
Gujarat,India,2021-07-04,26552975,,,2021/07/04,35611
Haryana,India,2021-07-04,9360623,,,2021/07/04,35612
Himachal Pradesh,India,2021-07-04,3985894,,,2021/07/04,35613
Jammu and Kashmir,India,2021-07-04,4761579,,,2021/07/04,35614
Jharkhand,India,2021-07-04,7060803,,,2021/07/04,35615
Karnataka,India,2021-07-04,23640276,,,2021/07/04,35616
Kerala,India,2021-07-04,14764570,,,2021/07/04,35617
Ladakh,India,2021-07-04,232133,,,2021/07/04,35618
Lakshadweep,India,2021-07-04,55632,,,2021/07/04,35637
Madhya Pradesh,India,2021-07-04,21595240,,,2021/07/04,35619
Maharashtra,India,2021-07-04,33931232,,,2021/07/04,35620
Manipur,India,2021-07-04,719577,,,2021/07/04,35621
Meghalaya,India,2021-07-04,733435,,,2021/07/04,35622
Mizoram,India,2021-07-04,600242,,,2021/07/04,35623
Nagaland,India,2021-07-04,520898,,,2021/07/04,35624
Odisha,India,2021-07-04,12202553,,,2021/07/04,35625
Puducherry,India,2021-07-04,526271,,,2021/07/04,35626
Punjab,India,2021-07-04,7720542,,,2021/07/04,35627
Rajasthan,India,2021-07-04,25668743,,,2021/07/04,35628
Sikkim,India,2021-07-04,501578,,,2021/07/04,35629
Tamil Nadu,India,2021-07-04,16640893,,,2021/07/04,35630
Telangana,India,2021-07-04,11631665,,,2021/07/04,35631
Tripura,India,2021-07-04,2613605,,,2021/07/04,35632
Uttar Pradesh,India,2021-07-04,32600346,,,2021/07/04,35633
Uttarakhand,India,2021-07-04,4527407,,,2021/07/04,35634
West Bengal,India,2021-07-04,22591339,,,2021/07/04,35635
,Indonesia,2021-07-04,44661928,30891821,13770107,2021/07/04,360
,Iran,2021-07-04,5717914,4076904,1641010,2021/07/04,364
,Iraq,2021-07-04,805363,548696,256667,2021/07/04,368
,Ireland,2021-07-04,4005196,2464080,1000000,2021/07/04,372
,Israel,2021-07-04,10802513,5625207,5174398,2021/07/04,376
,Italy,2021-07-04,54431603,34461262,19462810,2021/07/04,380
Abruzzo,Italy,2021-07-04,1159972,,,2021/07/04,38013
Basilicata,Italy,2021-07-04,464393,,,2021/07/04,38017
Calabria,Italy,2021-07-04,1546937,,,2021/07/04,38018
Campania,Italy,2021-07-04,5140712,,,2021/07/04,38015
Emilia-Romagna,Italy,2021-07-04,3915900,,,2021/07/04,38008
Friuli Venezia Giulia,Italy,2021-07-04,1088952,,,2021/07/04,38006
Lazio,Italy,2021-07-04,5388082,,,2021/07/04,38012
Liguria,Italy,2021-07-04,1374211,,,2021/07/04,38007
Lombardia,Italy,2021-07-04,9328412,,,2021/07/04,38003
Marche,Italy,2021-07-04,1349905,,,2021/07/04,38011
Molise,Italy,2021-07-04,276494,,,2021/07/04,38014
P.A. Bolzano,Italy,2021-07-04,449003,,,2021/07/04,38041
P.A. Trento,Italy,2021-07-04,470354,,,2021/07/04,38042
Piemonte,Italy,2021-07-04,3810595,,,2021/07/04,38001
Puglia,Italy,2021-07-04,3701085,,,2021/07/04,38016
Sardegna,Italy,2021-07-04,1434554,,,2021/07/04,38020
Sicilia,Italy,2021-07-04,3923295,,,2021/07/04,38019
Toscana,Italy,2021-07-04,3174248,,,2021/07/04,38009
Umbria,Italy,2021-07-04,779935,,,2021/07/04,38010
Valle d'Aosta,Italy,2021-07-04,106874,,,2021/07/04,38002
Veneto,Italy,2021-07-04,4319414,,,2021/07/04,38005
,Jamaica,2021-07-04,249983,172958,77025,2021/07/04,388
,Japan,2021-07-04,46248972,30249911,15999061,2021/07/04,392
,Jordan,2021-07-04,3939337,2495153,1421070,2021/07/04,400
,Kazakhstan,2021-07-04,5588733,3502814,2085919,2021/07/04,398
,Kenya,2021-07-04,1417100,1010954,406146,2021/07/04,404
,"Korea, South",2021-07-04,20667151,,,2021/07/04,410
,Kosovo,2021-07-04,179029,137456,41573,2021/07/04,383
,Kuwait,2021-07-04,3100000,2875000,38000,2021/07/04,414
,Kyrgyzstan,2021-07-04,173700,99900,73800,2021/07/04,417
,Laos,2021-07-04,1416267,886238,530029,2021/07/04,418
,Latvia,2021-07-04,1175551,665339,562412,2021/07/04,428
,Lebanon,2021-07-04,1376600,925393,451207,2021/07/04,422
,Liechtenstein,2021-07-04,32483,19250,13233,2021/07/04,438
,Lithuania,2021-07-04,2281427,1251425,1075665,2021/07/04,440
Alytus,Lithuania,2021-07-04,108576,,,2021/07/04,44001
Kaunas,Lithuania,2021-07-04,509156,,,2021/07/04,44002
Klaipeda,Lithuania,2021-07-04,219610,,,2021/07/04,44003
Marijampole,Lithuania,2021-07-04,101531,,,2021/07/04,44004
Panevezys,Lithuania,2021-07-04,170302,,,2021/07/04,44005
Siauliai,Lithuania,2021-07-04,196369,,,2021/07/04,44006
Taurage,Lithuania,2021-07-04,64847,,,2021/07/04,44007
Telsiai,Lithuania,2021-07-04,85807,,,2021/07/04,44008
Unassigned,Lithuania,2021-07-04,0,,,2021/07/04,44011
Utena,Lithuania,2021-07-04,98148,,,2021/07/04,44009
Vilnius,Lithuania,2021-07-04,727081,,,2021/07/04,44010
,Luxembourg,2021-07-04,560608,343732,216876,2021/07/04,442
,Malawi,2021-07-04,492390,385242,43165,2021/07/04,454
,Malaysia,2021-07-04,8582893,6119874,2463019,2021/07/04,458
,Maldives,2021-07-04,507741,317012,190729,2021/07/04,462
,Mali,2021-07-04,179634,133317,46317,2021/07/04,466
,Malta,2021-07-04,675014,360364,328960,2021/07/04,470
,Marshall Islands,2021-07-04,33077,,,2021/07/04,584
,Mauritania,2021-07-04,161604,152224,8858,2021/07/04,478
,Mauritius,2021-07-04,706948,486034,220914,2021/07/04,480
,Mexico,2021-07-04,46451716,31960060,19686818,2021/07/04,484
,Micronesia,2021-07-04,50909,,,2021/07/04,583
,Moldova,2021-07-04,735965,458077,277888,2021/07/04,498
,Monaco,2021-07-04,37872,20178,17694,2021/07/04,492
,Mongolia,2021-07-04,3821461,2053714,1756449,2021/07/04,496
,Montenegro,2021-07-04,291621,151655,139966,2021/07/04,499
,Morocco,2021-07-04,19219432,10059937,9159495,2021/07/04,504
,Mozambique,2021-07-04,438382,341707,96675,2021/07/04,508
,Namibia,2021-07-04,157803,122381,35422,2021/07/04,516
,Nepal,2021-07-04,3361468,2604866,756602,2021/07/04,524
,Netherlands,2021-07-04,16392351,10316529,6199305,2021/07/04,528
,New Zealand,2021-07-04,1149608,705062,444546,2021/07/04,554
,Nicaragua,2021-07-04,167500,167500,0,2021/07/04,558
,Nigeria,2021-07-04,3397472,2241662,1155810,2021/07/04,566
,North Macedonia,2021-07-04,572176,346836,225340,2021/07/04,807
,Norway,2021-07-04,4292737,2730836,1561843,2021/07/04,578
,Oman,2021-07-04,1064804,854274,213569,2021/07/04,512
,Pakistan,2021-07-04,17390346,9308890,3121648,2021/07/04,586
,Palau,2021-07-04,25358,,,2021/07/04,585
,Panama,2021-07-04,1534248,1007646,526602,2021/07/04,591
,Papua New Guinea,2021-07-04,51170,50460,710,2021/07/04,598
,Paraguay,2021-07-04,783265,526960,133391,2021/07/04,600
,Peru,2021-07-04,7874831,4457599,3137183,2021/07/04,604
,Philippines,2021-07-04,10703704,8002640,2701064,2021/07/04,608
,Poland,2021-07-04,29791445,17041184,13716258,2021/07/04,616
Dolnoslaskie,Poland,2021-07-04,2434981,,,2021/07/04,61601
Kujawsko-pomorskie,Poland,2021-07-04,1572586,,,2021/07/04,61602
Lodzkie,Poland,2021-07-04,1972629,,,2021/07/04,61605
Lubelskie,Poland,2021-07-04,1402328,,,2021/07/04,61603
Lubuskie,Poland,2021-07-04,822589,,,2021/07/04,61604
Malopolskie,Poland,2021-07-04,2474100,,,2021/07/04,61606
Mazowieckie,Poland,2021-07-04,4646035,,,2021/07/04,61607
Opolskie,Poland,2021-07-04,739613,,,2021/07/04,61608
Podkarpackie,Poland,2021-07-04,1333028,,,2021/07/04,61609
Podlaskie,Poland,2021-07-04,894968,,,2021/07/04,61610
Pomorskie,Poland,2021-07-04,1968150,,,2021/07/04,61611
Slaskie,Poland,2021-07-04,3603796,,,2021/07/04,61612
Swietokrzyskie,Poland,2021-07-04,840300,,,2021/07/04,61613
Warminsko-mazurskie,Poland,2021-07-04,989938,,,2021/07/04,61614
Wielkopolskie,Poland,2021-07-04,2713767,,,2021/07/04,61615
Zachodniopomorskie,Poland,2021-07-04,1382637,,,2021/07/04,61616
,Portugal,2021-07-04,9164875,5915342,3674252,2021/07/04,620
,Qatar,2021-07-04,3211237,1739012,1472225,2021/07/04,634
,Romania,2021-07-04,8997613,4731279,4549454,2021/07/04,642
,Russia,2021-07-04,42830589,24221641,17600153,2021/07/04,643
,Rwanda,2021-07-04,578569,350400,228169,2021/07/04,646
,Saint Kitts and Nevis,2021-07-04,40615,22831,17784,2021/07/04,659
,Saint Lucia,2021-07-04,52921,30902,22019,2021/07/04,662
,Saint Vincent and the Grenadines,2021-07-04,24737,18417,0,2021/07/04,670
,San Marino,2021-07-04,44515,22347,22347,2021/07/04,674
,Sao Tome and Principe,2021-07-04,27986,16453,11533,2021/07/04,678
,Saudi Arabia,2021-07-04,18336886,0,0,2021/07/04,682
,Senegal,2021-07-04,664826,515344,149482,2021/07/04,686
,Serbia,2021-07-04,5146241,2693998,2452243,2021/07/04,688
,Seychelles,2021-07-04,138581,70911,67670,2021/07/04,690
,Sierra Leone,2021-07-04,97315,82145,15170,2021/07/04,694
,Singapore,2021-07-04,5551613,3426468,2125145,2021/07/04,702
,Slovakia,2021-07-04,3679225,2037657,1611613,2021/07/04,703
,Slovenia,2021-07-04,1525921,828830,697091,2021/07/04,705
,Solomon Islands,2021-07-04,23634,18050,3692,2021/07/04,90
,South Africa,2021-07-04,3305965,3155717,479772,2021/07/04,710
,South Sudan,2021-07-04,44920,42166,2754,2021/07/04,728
,Spain,2021-07-04,42792983,25948237,18466362,2021/07/04,724
,Sri Lanka,2021-07-04,4122829,2889602,1146978,2021/07/04,144
,Sudan,2021-07-04,677957,554095,123862,2021/07/04,729
,Suriname,2021-07-04,199471,162516,36955,2021/07/04,740
,Sweden,2021-07-04,8168667,4999452,3169215,2021/07/04,752
,Switzerland,2021-07-04,7489716,4391004,3098708,2021/07/04,756
Aargau,Switzerland,2021-07-04,575418,,,2021/07/04,75601
Appenzell Ausserrhoden,Switzerland,2021-07-04,44231,,,2021/07/04,75602
Appenzell Innerrhoden,Switzerland,2021-07-04,12248,,,2021/07/04,75603
Basel-Landschaft,Switzerland,2021-07-04,265569,,,2021/07/04,75604
Basel-Stadt,Switzerland,2021-07-04,189484,,,2021/07/04,75605
Berne,Switzerland,2021-07-04,942417,,,2021/07/04,75606
Fribourg,Switzerland,2021-07-04,238123,,,2021/07/04,75607
Geneva,Switzerland,2021-07-04,480626,,,2021/07/04,75608
Glarus,Switzerland,2021-07-04,32023,,,2021/07/04,75609
Grisons,Switzerland,2021-07-04,167621,,,2021/07/04,75610
Jura,Switzerland,2021-07-04,59375,,,2021/07/04,75611
