,date,policy,Restrict/Close,Opening (State),Deferring to County,Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other
24,"April 2 — The Governor updated his essential business      designation to include childcare workers in order to ensure consistent      care for children of other essential workers. , 2020",April 2  The Governor updated his essential business      designation to include childcare workers in order to ensure consistent      care for children of other essential workers. ,,,,,,,,,,,Y
25,"April 13, 2020", The Governor issued a Directive to provide emergency rental assistance to help families with limited financial resources make ends meet during this unprecedented economic situation. The program also includes relief funds specifically for households with children eligible for TANF. ,,,,,,,,,,,Y
26,"April 14, 2020"," The Governor released a report produced by state epidemiologists examining 377 cases of COVID-19 in Montana that helps the state understand who is impacted by the new virus, how it spreads, and patient outcomes.",,,,,,Y,,,,,
27,"April 16, 2020", The Governor announced a Coronavirus Relief Task Force that will provide guidance and advice on how to best use $1.25 billion appropriated to Montana through the Federal CARES Act. ,,,,,,,,,,,Y
28,"April 20, 2020"," The Governor announced that 5,000 nasal swabs arrived to the states DPHHS warehouse from FEMA.",,,,,,Y,,,,,
29,"April 21, 2020"," The Governor announced that he secured hundreds of thousands of face masks, shields and gloves from private market distributors to fill the needs of front-line health care workers. ",,,,,,Y,,,,,
30,"April 22, 2020"," The      Governor announced a gradual and phased reopening of the state beginning Sunday,      April 26 for individuals, and extending to businesses on Monday, April 27.",,Y,,,,,,,,,
31,"April 22, 2020", The      Governor issued two directives to      increase frontline health care provider capacity to respond to COVID-19      and expand insurance coverage to allow Montanans to access routine health      care services while social distancing.,,,,,,Y,,,,,Y
32,"April 27, 2020", The Governor sent a letter U.S. Department of Agriculture Secretary to allow some local processing in order to avoid food waste and get local meat to Montana food banks for residents hardest hitby this public health emergency. ,,,,,,,,,,,Y
33,"April 30, 2020", The Governor announced the state received a Battelle Critical Care Decontamination System to begin cleaning and disinfecting used N95 respirators.,,,,,,Y,,,,,
34,"April 30, 2020"," The Governor outlined a framework to ramp up testing capacity in Montana over the next several months with a goal to eventually conduct 60,000 tests per month and prioritize testing for vulnerable populations. ",,,,Y,,,,,,,
35,"May 6, 2020", The Governor announced $10 million in federal CARES Act funding is now available to Montana childcare providers.,,,,,,,,,,,Y
36,"May 11, 2020"," The Governor announced additional Phase One guidelines that will allow gyms and fitness studios, movie theaters and museums the option to reopen beginning Friday, May 15.",,Y,,,,,,,,,
37,"May 11, 2020"," The Governor announced he secured 19,500 swabs and 9,000 viral transport medium that have arrived from the federal government to support the effort to continue testing symptomatic residents.",,,,,,Y,,,,,
38,"May 13, 2020","-The Montana Department of Public Health and Human Services is providing grants of up to $1,000 per individual to purchase equipment to assist Montanans with disabilities access telework equipment.",,,,,,,,,,,Y
39,"May 14, 2020", The Governor announced he is directing $5 million in federal CARES Act funds to expand assistance to thousands of Montanans struggling to afford their home energy needs due to financial strain caused by the pandemic.,,,,,,,,,,,Y
40,"May 18, 2020"," The Governor announced that Montana received a shipment of 500,000 N95 masks from FEMA to the states warehouse.",,,,,,Y,,,,,
41,"May 19, 2020", The Governor announced the state will move to Phase Two of the Reopening the Big Sky plan and will lift the 14-day out-of-state travel quarantine beginning June 1.,,Y,,,,,,,,,
42,"May 22, 2020", The Governor announced Montanas unemployment rate was at 11.3% in April due to impacts created by the pandemic.,,,,,,,,,,,Y
43,"June 17, 2020"," The Governor announced the creation of the Montana Loan Deferment Program, which will allow businesses and other entities to defer payments on existing loans for six to twelve months and free up a significant amount of otherwise dedicated capital for the borrower to leverage on a monthly basis.",,,,,,,,,,,Y
44,"June 17, 2020"," The Governor announced $108,550 in grants to six organizations to continue operating emergency food services in response to the pandemic.",,,,,,,,,,,Y
45,"June 18, 2020"," The Governor visited the Confederated Salish and Kootenai Tribes, whose community testing event marks the completion of the first round of COVID-19 community testing in Montanas tribal communities.",,,,Y,,,,,,,Y
