,date,policy,Restrict/Close,Opening (State),Deferring to County,Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other
81,"May 20, 2020"," The Economic Recovery Group issued updated guidance to restaurants and retailers, as well as new guidance for attractions and larger venues to reopen with social distancing and capacity restrictions.",,,,,,,,,,Y,
82,"May 22, 2020"," The Governor issued Executive Order 38, allowing groups of up to 50 people to participate in social and recreational activities while encouraging strong social distancing measures.",,Y,,,,,,,,,
83,"May 29, 2020", The Unified Command Group released a new report on the states efforts to protect long-term care facility residents. The report can be found here.,,,,,,,,,,,Y
84,"June 2, 2020", The Governor announced a new relief program for Tennessee businesses affected by COVID-19. The Tennessee Business Relief Program will direct approximately $200 million in federal funds directly to qualifying small businesses.,,,,,,,,,,,Y
85,"June 4, 2020"," The Economic Recovery Group (ERG) issued updated guidance for close contact service businesses, exercise facilities, and recreation activities under the Tennessee Pledge. The ERG also added recommendations for large community events.",,,,,,,,,,,Y
86,"June 10, 2020"," The Governor, in coordination with the Unified Command Group, released guidance to provide limited visitation options for long-term care facilities.",,,,,,,,,,,Y
87,"June 10, 2020"," The Economic Recovery Group announced a partnership with the University of Tennessee to assist in the collection and analysis of survey data, tracking citizens sense of safety and economic well-being as the state reopens.",,,,,,,,,,,Y
88,"June 18, 2020", The Unified Command Group announced that nearly all of Tennessees 700 long-term care facilities have completed the required COVID-19 testing of residents and staff.,,,,Y,,,,,,,
89,"June 18, 2020"," The Governors Economic Recovery Group developed the TN Strong Mask Movement, partnering with more than 30 flagship brands to distribute close to 300,000 free or low-cost cloth face coverings across the state.",,,,,,Y,,,,,
90,"June 29, 2020"," The Governor signed Executive Order No. 50, extending Tennessees State of Emergency until August 29.",,,,,,,Y,,,,
91,"July 1, 2020"," The Governor issued an executive order extending COVID-19 civil liability protection to health care providers, announcing lawsuit immunity.",,,,,,,,,,,Y
92,"July 3, 2020", The Governor signed an executive order granting mayors in 89 counties the authority to issue local mask requirements in the event of increased COVID-19 cases.,,,Y,,,,,,,,
93,"July 7, 2020", The Governor and the Financial Stimulus Accountability Groupannouncedthat$81 million in CARES Act fundingwill bemade available to K-12 schools and higher education institutions to assist with plans for safe reopening.,,,,,Y,,,,,,
94,"July 13, 2020"," Tennessees Economic Recovery Group, in partnership with the Tennessee Entertainment Commission, released new Tennessee Pledge guidelines with safety measures for media production.",,,,,,,,,,,Y
